EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
 155  0.880122  3.8322  3.9273  0.7373  3.2758  3.1349  3.0180  2.8582  2.9232  2.7975  2.6880  2.5567  2.5725  2.4695  2.4475  2.3907
 156  0.881421  3.8303  3.9100  0.7478  3.2551  3.1123  2.9941  2.8323  2.8980  2.7707  2.6599  2.5263  2.5428  2.4386  2.4161  2.3580
 157  0.882683  3.8282  3.8919  0.7582  3.2355  3.0904  2.9708  2.8066  2.8731  2.7439  2.6318  2.4956  2.5129  2.4073  2.3843  2.3247
 158  0.883907  3.8259  3.8728  0.7685  3.2170  3.0694  2.9481  2.7813  2.8488  2.7175  2.6038  2.4646  2.4829  2.3756  2.3520  2.2907
 159  0.885095  3.8233  3.8527  0.7788  3.2001  3.0494  2.9262  2.7564  2.8249  2.6913  2.5758  2.4336  2.4528  2.3435  2.3192  2.2561
 160  0.886251  3.8203  3.8313  0.7889  3.1848  3.0306  2.9051  2.7320  2.8018  2.6654  2.5480  2.4023  2.4225  2.3111  2.2859  2.2207
 161  0.887379  3.8170  3.8086  0.7988  3.1717  3.0134  2.8851  2.7083  2.7794  2.6400  2.5204  2.3707  2.3922  2.2781  2.2521  2.1846
 162  0.888092  3.8147  3.7932  0.8052  3.1642  3.0030  2.8727  2.6932  2.7653  2.6238  2.5025  2.3501  2.3724  2.2567  2.2301  2.1609
 163  0.888804  3.8120  3.7769  0.8114  3.1586  2.9939  2.8614  2.6788  2.7521  2.6081  2.4850  2.3296  2.3529  2.2351  2.2078  2.1368
 164  0.889514  3.8092  3.7598  0.8173  3.1548  2.9862  2.8512  2.6651  2.7396  2.5929  2.4679  2.3093  2.3336  2.2135  2.1854  2.1123
 165  0.890225  3.8059  3.7416  0.8230  3.1535  2.9803  2.8423  2.6525  2.7283  2.5786  2.4514  2.2894  2.3148  2.1920  2.1630  2.0876
 166  0.890940  3.8023  3.7223  0.8282  3.1554  2.9768  2.8352  2.6413  2.7188  2.5657  2.4360  2.2703  2.2970  2.1709  2.1410  2.0629
